aff,num
"Archeological and Environmental Consultants, LLC",5
Stephen F. Austin State University,4
The University of Texas at Austin,3
Texas A&M University,3
"Université Jean Monnet Saint Etienne	",2
PBS and J,1
Wilson Inc.,1
Jornada Museum Services,1
Oklahoma Department of Transportation Cultural Resource Program,1
Consulting Geoarchaeologist,1
"Prewitt and Associates, Inc.",1
Cultural Preservation Department,1
Rice University,1
University of Texas at Dallas,1
Texas A and M University at Galveston,1
Versar Inc.,1
The University of Alabama,1
University of Oklahoma,1
